name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates,checkin_acc,duration,credit_history,amount,savings_acc,present_emp_since,inst_rate,personal_status,residing_since,age,inst_plans,num_credits,job,status,year,region,npg,birth_rate,death_rate,migratory_growth,population
Gonda ,9,UTTAR PRADESH,52,114353,58484,55869,12289,6476,5813,82739,45825,36914,955,898,81.07,88.11,73.75,"27.1339913,81.9618968",17212,10185,7027,A14,36,A33,9572,A61,A72,1,A91,1,28,A143,2,A173,1,1992,Volgograd Oblast,-1.4,10.6,12,,2656164
Gondal ,24,GUJARAT,9,112064,58417,53647,11591,6358,5233,86139,47112,39027,918,823,85.73,90.5,80.61,"21.9619463,70.792297",10557,6003,4554,A12,36,A33,4455,A61,A73,2,A91,2,30,A142,2,A174,1,1992,Vologda Oblast,-2.9,10.3,13.2,,1353220
Gondiya ,27,MAHARASHTRA,11,132889,66756,66133,12835,6652,6183,112490,58721,53769,991,929,93.7,97.7,89.69,"21.4624491,80.2209773",18563,10175,8388,A11,21,A31,1647,A65,A73,4,A93,2,40,A143,2,A172,1,1992,Voronezh Oblast,-5,9.5,14.5,,2467384
Gorakhpur ,9,UTTAR PRADESH,57,671048,353550,317498,62205,32969,29236,523441,290760,232681,898,887,85.97,90.7,80.72,"26.7605545,83.3731675",123723,73116,50607,A14,24,A34,3777,A64,A73,4,A93,4,50,A143,1,A173,0,1992,Republic of Dagestan,16.3,22.9,6.6,,1937297
Greater Hyderabad ,28,ANDHRA PRADESH,99,6809970,3500802,3309168,725816,373794,352022,5047705,2688111,2359594,945,942,82.96,85.96,79.79,"17.3850,78.4867",1164149,685402,478747,A12,18,A34,884,A61,A75,4,A93,4,36,A141,1,A173,1,1992,Jewish Autonomous Oblast,2.3,13.9,11.6,,220231
Greater Mumbai ,27,MAHARASHTRA,99,12478447,6736815,5741632,1139146,599007,540139,10237586,5727774,4509812,852,902,90.28,93.32,86.7,"19.0760,72.8777",1802371,964964,837407,A14,15,A34,1360,A61,A73,4,A93,2,31,A143,2,A173,0,1992,Zabaykalsky Krai,4.1,14.2,10.1,,1307810
Greater Noida ,9,UTTAR PRADESH,10,107676,58662,49014,15517,8512,7005,79757,45878,33879,836,823,86.54,91.48,80.65,"28.4743879,77.5039904",20791,11844,8947,A12,9,A31,5129,A61,A75,2,A92,4,74,A141,1,A174,1,1992,Ivanovo Oblast,-6.1,9,15.1,,1285299
Gudivada ,28,ANDHRA PRADESH,16,118289,58941,59348,9952,5081,4871,89009,46529,42480,1007,959,82.16,86.39,77.98,"16.4410255,80.9926327",12523,7411,5112,A12,16,A34,1175,A61,A71,2,A93,3,68,A143,3,A171,0,1992,Republic of Ingushetia,,,,,194105
Gulbarga ,29,KARNATAKA,25,532031,272451,259580,69146,36073,33073,387470,210817,176653,953,917,83.71,89.19,77.99,"17.329731,76.8342957",65039,40331,24708,A11,12,A32,674,A62,A74,4,A94,1,20,A143,1,A173,1,1992,Irkutsk Oblast,1.2,12.6,11.4,,2793856
Guna ,23,MADHYA PRADESH,41,180978,94645,86333,23757,12658,11099,128463,73169,55294,912,877,81.71,89.24,73.5,"24.6348197,77.2979782",22104,13416,8688,A12,18,A30,3244,A61,A73,1,A92,4,33,A141,2,A173,0,1992,Kabardino-Balkar Republic,8.3,17.2,8.9,,794380
Guntakal ,28,ANDHRA PRADESH,22,126479,62695,63784,12614,6495,6119,86197,47471,38726,1017,942,75.7,84.47,67.16,"15.1674091,77.3736238",11626,7398,4228,A14,24,A32,4591,A64,A73,2,A93,3,54,A143,3,A174,1,1992,Kaliningrad Oblast,-0.7,10.3,11,,898578
Guntur ,28,ANDHRA PRADESH,17,651382,323151,328231,59486,30307,29179,480068,252677,227391,1016,963,81.11,86.28,76.04,"16.3066525,80.4365402",94432,58194,36238,A12,48,A30,3844,A62,A74,4,A93,4,34,A143,1,A172,1,1992,Republic of Kalmykia,9.5,18.2,8.7,,325524
Gurgaon ,6,HARYANA,18,876824,475612,401212,108623,58842,49781,662969,373164,289805,844,846,86.3,89.54,82.46,"28.4594965,77.0266383",233817,126456,107361,A12,27,A32,3915,A61,A73,4,A93,2,36,A143,1,A173,1,1992,Kaluga Oblast,-3.9,9.3,13.2,,1074673
Guwahati ,18,ASSAM,23,963429,502255,461174,86806,43217,43589,798726,426401,372325,918,1009,91.11,92.89,89.16,"26.1445169,91.7362365",184065,107093,76972,A14,6,A32,2108,A61,A74,2,A94,2,29,A143,1,A173,0,1992,Kamchatka Krai,2.8,10.2,7.4,,475987
Gwalior ,23,MADHYA PRADESH,4,1053505,560887,492618,114190,62516,51674,800325,452788,347537,878,827,85.2,90.85,78.82,"26.2182871,78.1828308",169264,100039,69225,A12,45,A32,3031,A62,A73,4,A93,4,21,A143,1,A173,1,1992,Karachay-Cherkess Republic,6.8,15.9,9.1,,428795
Habra ,19,WEST BENGAL,11,149675,76510,73165,11211,5799,5412,125800,66495,59305,956,933,90.85,94.04,87.53,"22.8488542,88.6639591",13824,8682,5142,A12,9,A34,1501,A61,A75,2,A92,3,34,A143,2,A174,1,1992,Republic of Karelia,-2.4,10.1,12.5,,789509
Hajipur ,10,BIHAR,18,147126,78561,68565,20090,10694,9396,100691,57537,43154,873,879,79.26,84.78,72.93,"25.6858392,85.2145907",16319,11371,4948,A14,6,A34,1382,A61,A73,1,A92,1,28,A143,2,A173,0,1992,Kemerovo Oblast,-2.8,10.3,13.1,,3098685
Haldia ,19,WEST BENGAL,19,200762,104852,95910,21122,10799,10323,159984,88125,71859,915,956,89.06,93.7,83.96,"22.0666742,88.0698118",17487,10784,6703,A12,12,A32,951,A62,A72,4,A92,4,27,A141,4,A173,1,1992,Kirov Oblast,-2.9,10.1,13,,1645091
Haldwani-cum-Kathgodam ,5,UTTARAKHAND,11,156060,81918,74142,19783,10397,9386,111410,60678,50732,905,903,81.75,84.84,78.34,"29.2182644,79.5129767",34329,17783,16546,A12,24,A32,2760,A65,A75,4,A93,4,36,A141,1,A173,0,1992,Kostroma Oblast,-5.2,9.3,14.5,,801880
Halisahar ,19,WEST BENGAL,11,126893,66654,60239,10600,5513,5087,103789,56921,46868,904,923,89.25,93.1,84.98,"22.9441261,88.4193259",10802,6680,4122,A12,18,A33,4297,A61,A75,4,A91,3,40,A143,1,A174,1,1992,Krasnodar Krai,-2.4,11.5,13.9,,4763741
Hanumangarh ,8,RAJASTHAN,2,151104,79817,71287,17947,9709,8238,104285,59883,44402,893,848,78.32,85.42,70.42,"29.5815012,74.3294199",16870,9978,6892,A14,9,A34,936,A63,A75,4,A93,2,52,A143,2,A173,0,1992,Krasnoyarsk Krai,0.4,11,10.6,,3164219
Haora ,19,WEST BENGAL,15,1072161,560577,511584,83010,43155,39855,888817,477781,411036,913,924,89.86,92.34,87.13,"22.5957689,88.2636394",151490,91001,60489,A11,12,A32,1168,A61,A73,4,A94,3,27,A143,1,A172,0,1992,Republic of Crimea,,,,,
Hapur ,9,UTTAR PRADESH,9,262801,139694,123107,36714,19822,16892,170325,98394,71931,881,852,75.34,82.08,67.72,"28.7305798,77.7758825",28472,16007,12465,A14,27,A33,5117,A61,A74,3,A93,4,26,A143,2,A173,0,1992,Kurgan Oblast,-0.6,11.8,12.4,,1106527
Hardoi ,9,UTTAR PRADESH,24,126890,66752,60138,13040,6942,6098,99217,54470,44747,901,878,87.15,91.07,82.8,"27.2978965,80.1875065",29166,17644,11522,A11,12,A32,902,A61,A74,4,A94,4,21,A143,1,A173,1,1992,Kursk Oblast,-5.2,9.7,14.9,,1325156
Hardwar ,5,UTTARAKHAND,13,225235,120201,105034,25950,13853,12097,169371,94508,74863,874,873,84.99,88.87,80.55,"29.9456906,78.1642478",38835,20223,18612,A14,12,A34,1495,A61,A75,4,A93,1,38,A143,2,A172,0,1992,Leningrad Oblast,-5.6,8.6,14.2,,1678862
Hassan ,29,KARNATAKA,20,133723,66380,67343,12670,6517,6153,109564,55610,53954,1015,944,90.51,92.9,88.17,"13.0068142,76.0995519",21042,11784,9258,A11,30,A34,10623,A61,A75,3,A93,4,38,A143,3,A174,0,1992,Lipetsk Oblast,-3.9,9.7,13.6,,1232409
Hastsal ,7,NCT OF DELHI,7,177033,95068,81965,23920,12775,11145,129653,75259,54394,862,872,84.68,91.45,76.81,"28.6377129,77.0490264",12901,8095,4806,A14,12,A34,1935,A61,A75,4,A93,4,43,A143,3,A173,0,1992,Magadan Oblast,2.3,10.1,7.8,,365311
Hathras ,9,UTTAR PRADESH,13,137509,73376,64133,16686,9096,7590,95524,53918,41606,874,834,79.06,83.88,73.58,"27.6056212,78.0537813",18612,10545,8067,A12,12,A34,1424,A61,A74,4,A93,3,26,A143,1,A173,0,1992,Mari El Republic,1.2,12.2,11,,757351
Hazaribag ,20,JHARKHAND,15,142494,74267,68227,16100,8485,7615,113693,61630,52063,919,897,89.95,93.69,85.9,"23.9966213,85.3691068",28889,18311,10578,A11,24,A32,6568,A61,A73,2,A94,2,21,A142,1,A172,0,1992,Republic of Mordovia,-1.4,10.6,12,,960443
Hindaun ,8,RAJASTHAN,9,105690,56178,49512,15451,8345,7106,69108,41993,27115,881,852,76.58,87.79,63.94,"26.7454967,77.0330481",7964,5291,2673,A14,12,A32,1413,A64,A74,3,A93,2,55,A143,1,A173,0,1992,Moscow,-5.9,7.6,13.5,,9067808
Hindupur ,28,ANDHRA PRADESH,22,151835,76625,75210,16309,8263,8046,103538,56177,47361,982,974,76.4,82.18,70.52,"13.8185378,77.4988753",11050,6926,4124,A14,9,A34,3074,A65,A73,1,A93,2,33,A143,2,A173,0,1992,Moscow Oblast,-5.5,7.7,13.2,,6719121
Hinganghat ,27,MAHARASHTRA,8,100416,51881,48535,9681,5175,4506,85599,45728,39871,936,871,94.34,97.91,90.56,"20.5505728,78.8411405",11256,6684,4572,A14,36,A32,3835,A65,A75,2,A92,4,45,A143,1,A172,0,1992,Murmansk Oblast,0.8,8.3,7.5,,1170371
Hisar ,6,HARYANA,12,301249,163338,137911,33514,18015,15499,216978,125172,91806,844,860,81.04,86.13,75,"29.1491875,75.7216527",49148,27629,21519,A11,27,A30,5293,A61,A71,2,A93,4,50,A142,2,A173,1,1992,Nenets Autonomous Okrug,5.9,14.7,8.8,,50245
Hoshangabad ,23,MADHYA PRADESH,32,117956,61610,56346,13012,6964,6048,92317,50943,41374,915,868,87.97,93.22,82.26,"22.744108,77.736967",18980,11072,7908,A13,30,A33,1908,A61,A75,4,A93,4,66,A143,1,A174,1,1992,Nizhny Novgorod Oblast,-4.5,9,13.5,,3762340
Hoshiarpur ,3,PUNJAB,4,168443,88290,80153,16836,9178,7658,135094,72533,62561,908,834,89.11,91.68,86.3,"31.5143178,75.911483",26629,13069,13560,A14,36,A34,3342,A65,A75,4,A93,2,51,A143,1,A173,0,1992,Novgorod Oblast,-6.2,9.5,15.7,,748820
Hospet ,29,KARNATAKA,11,206159,102923,103236,26478,13508,12970,143776,77678,66098,1003,960,80.02,86.87,73.23,"15.2688542,76.3909241",17556,10567,6989,A12,6,A34,932,A65,A74,1,A92,3,39,A143,2,A172,0,1992,Novosibirsk Oblast,-1.2,10.4,11.6,,2749253
Hosur ,33,TAMIL NADU,30,116821,59411,57410,13288,6746,6542,91358,48225,43133,966,970,88.24,91.57,84.79,"12.7409127,77.8252923",15530,8254,7276,A11,18,A30,3104,A61,A74,3,A93,1,31,A141,1,A173,0,1992,Omsk Oblast,2,12.2,10.2,,2165262
Hubli-Dharwad ,29,KARNATAKA,8,943857,475980,467877,99989,51293,48696,736506,389290,347216,983,949,87.28,91.67,82.83,"15.3647083,75.1239547",113864,67478,46386,A13,36,A32,3913,A61,A73,2,A93,2,23,A143,1,A173,0,1992,Orenburg Oblast,1.5,12.6,11.1,,2168257
Hugli-Chinsurah ,19,WEST BENGAL,12,177209,88952,88257,11409,5763,5646,152437,78780,73657,992,980,91.94,94.7,89.16,"22.8858771,88.3919026",31236,17939,13297,A11,24,A32,3021,A61,A73,2,A91,2,24,A143,1,A172,0,1992,Oryol Oblast,-4.4,9.7,14.1,,899207
Ichalkaranji ,27,MAHARASHTRA,34,287570,149691,137879,32880,17402,15478,223752,123878,99874,921,889,87.85,93.64,81.6,"16.7090008,74.4560807",22644,13707,8937,A14,10,A32,1364,A61,A73,2,A92,4,64,A143,1,A173,0,1992,Penza Oblast,-2.7,9.6,12.3,,1547783
Imphal ,14,MANIPUR ,99,264986,128931,136055,25877,13347,12530,219261,110809,108452,1055,939,91.7,95.87,87.8,"24.8170111,93.9368439",63915,33950,29965,A12,12,A32,625,A61,A72,4,A94,1,26,A141,1,A172,0,1992,Perm Krai,-1.4,11.2,12.6,,3012524
Indore ,23,MADHYA PRADESH,22,1960631,1020883,939748,225111,119354,105757,1516434,827975,688459,921,886,87.38,91.84,82.55,"22.7195687,75.8577258",313525,174270,139255,A11,12,A32,1200,A65,A73,4,A92,4,23,A141,1,A173,0,1992,Primorsky Krai,0.3,10.9,10.6,,2314531
Jabalpur ,23,MADHYA PRADESH,34,1054336,546561,507775,107882,56746,51136,841399,453820,387579,929,901,88.9,92.65,84.88,"23.181467,79.9864071",169711,92225,77486,A14,12,A32,707,A61,A73,4,A93,2,30,A141,2,A173,0,1992,Pskov Oblast,-7.4,9.3,16.7,,837683
Jagadhri ,6,HARYANA,3,124915,67752,57163,13635,7484,6151,95469,53660,41809,844,822,85.79,89.04,81.96,"30.1680858,77.2969204",18738,9805,8933,A14,24,A33,2978,A65,A73,4,A93,4,32,A143,2,A173,0,1992,Altai Republic,5.1,16.6,11.5,,196962
Jagdalpur ,22,CHHATTISGARH,15,125345,63910,61435,13804,7192,6612,95303,51905,43398,961,919,85.44,91.51,79.16,"19.0740973,82.008014",16223,9289,6934,A14,15,A32,4657,A61,A73,3,A93,2,30,A143,1,A173,0,1992,Komi Republic,2,11.4,9.4,,1222134
Jaipur ,8,RAJASTHAN,12,3073350,1619280,1454070,378788,204320,174468,2272724,1282140,990584,898,854,84.34,90.61,77.41,"26.9124336,75.7872709",533148,319107,214041,A14,36,A30,2613,A61,A73,4,A93,2,27,A143,2,A173,0,1992,Tuva Republic,11.7,21.6,9.9,,303300
Jalandhar ,3,PUNJAB,3,862196,458015,404181,83669,44850,38819,665625,363500,302125,882,866,85.5,87.98,82.69,"31.3260152,75.5761829",128924,63657,65267,A12,48,A32,10961,A64,A74,1,A93,2,27,A141,2,A173,1,1992,Rostov Oblast,-2.4,10.7,13.1,,4370389
Jalgaon ,27,MAHARASHTRA,3,460468,241228,219240,51544,28548,22996,363778,198426,165352,909,806,88.96,93.3,84.26,"21.0076578,75.5626039",55315,33154,22161,A11,12,A32,7865,A61,A75,4,A93,4,53,A143,1,A174,1,1992,Ryazan Oblast,-5.7,9,14.7,,1344383
Jalna ,27,MAHARASHTRA,18,285349,147714,137635,37695,19982,17713,209531,116300,93231,932,886,84.61,91.05,77.74,"19.8296893,75.8800305",23959,15360,8599,A14,9,A32,1478,A61,A74,4,A93,2,22,A143,1,A173,1,1992,Samara Oblast,-1.9,9.9,11.8,,3253228
Jalpaiguri ,19,WEST BENGAL,2,107351,53749,53602,8075,4124,3951,90455,46484,43971,997,958,91.11,93.67,88.56,"26.5434772,88.7205256",20252,11543,8709,A11,24,A32,3149,A61,A72,4,A93,1,22,A141,1,A173,0,1992,Saint Petersburg,-5.9,7.6,13.5,,4986405
Jamalpur ,10,BIHAR,24,105221,56231,48990,12298,6587,5711,81192,45961,35231,871,867,87.38,92.58,81.4,"25.312717,86.4906091",10638,7165,3473,A13,36,A32,4210,A61,A73,4,A93,2,26,A143,1,A173,1,1992,Saratov Oblast,-2,10.5,12.5,,2707547
Jammu ,1,JAMMU & KASHMIR,21,503690,265346,238344,42655,23317,19338,413366,225410,187956,898,829,89.66,93.13,85.82,"32.7266016,74.8570259",121564,65587,55977,A14,9,A32,2507,A63,A75,2,A93,4,51,A143,1,A172,0,1992,Sakhalin Oblast,1.2,10.5,9.3,,714320
Jamnagar ,24,GUJARAT,10,529308,276202,253106,51106,27452,23654,394919,216330,178589,916,862,82.58,86.97,77.83,"22.4707019,70.05773",52049,29513,22536,A14,12,A32,2141,A62,A74,3,A93,1,35,A143,1,A173,0,1992,Sverdlovsk Oblast,-3.2,9.4,12.6,,4754897
Jamshedpur ,20,JHARKHAND,12,629659,327912,301747,64098,33972,30126,494893,270876,224017,920,887,87.5,92.15,82.47,"22.8045665,86.2028754",110962,64276,46686,A12,18,A32,866,A61,A73,4,A94,2,25,A143,1,A172,0,1992,Sevastopol,,,,,
Jamuria ,19,WEST BENGAL,9,144971,75574,69397,17556,9017,8539,93152,54399,38753,918,947,73.11,81.73,63.68,"23.7060688,87.0774107",5436,3961,1475,A14,4,A34,1544,A61,A74,2,A93,1,42,A143,3,A172,0,1992,Republic of North Ossetia-Alania,4.3,14.7,10.4,,705019
Jaunpur ,9,UTTAR PRADESH,63,168128,88704,79424,18033,9449,8584,123245,68005,55240,895,908,82.11,85.81,77.98,"25.7490034,82.6987002",24871,14851,10020,A11,24,A32,1823,A61,A71,4,A93,2,30,A142,1,A174,1,1992,Smolensk Oblast,-4.8,9.3,14.1,,1152141
Jehanabad ,10,BIHAR,37,102456,54868,47588,14516,7706,6810,70052,39889,30163,867,884,79.66,84.58,73.97,"25.1515827,84.981754",8901,6620,2281,A12,6,A32,14555,A65,A71,1,A93,2,23,A143,1,A171,1,1992,Stavropol Krai,1.1,13,11.9,,2522703
Jetpur Navagadh ,24,GUJARAT,9,118550,62331,56219,12295,6684,5611,89110,49677,39433,902,839,83.86,89.27,77.92,"21.7615246,70.6276279",8846,4677,4169,A12,21,A32,2767,A62,A75,4,A91,2,61,A141,2,A172,1,1992,Tambov Oblast,-5.6,9.7,15.3,,1303360
Jhansi ,9,UTTAR PRADESH,35,507293,268101,239192,51762,27715,24047,381771,214375,167396,892,868,83.81,89.18,77.81,"25.4484257,78.5684594",78757,45368,33389,A14,12,A34,1291,A61,A73,4,A92,2,35,A143,2,A173,0,1992,Republic of Tatarstan,1.5,12.1,10.6,,3692334
Jhunjhunun ,8,RAJASTHAN,5,118966,61906,57060,16563,8887,7676,76183,44962,31221,922,864,74.4,84.8,63.22,"28.1288747,75.3995089",10403,6482,3921,A11,30,A32,2522,A61,A75,1,A93,3,39,A143,1,A173,0,1992,Tver Oblast,-7.4,8.8,16.2,,1648880
Jind ,6,HARYANA,9,166225,88561,77664,18825,10280,8545,123267,71129,52138,877,831,83.63,90.86,75.43,"29.3211153,76.3058328",21508,12601,8907,A11,24,A32,915,A65,A75,4,A92,2,29,A141,1,A173,1,1992,Tomsk Oblast,-0.3,9.5,9.8,,1078596
Jodhpur ,8,RAJASTHAN,15,1033918,544057,489861,126543,66662,59881,740011,422120,317891,900,898,81.56,88.42,73.93,"26.2389469,73.0243094",140922,84420,56502,A14,6,A32,1595,A61,A74,3,A93,2,51,A143,1,A173,0,1992,Tula Oblast,-7.6,8.2,15.8,,1838700
Junagadh ,24,GUJARAT,12,320250,164091,156159,27375,14651,12724,259563,139317,120246,952,868,88.63,93.23,83.83,"21.522184,70.4578768",36910,20964,15946,A11,48,A30,4605,A61,A75,3,A93,4,24,A143,2,A173,1,1992,Tyumen Oblast,4.3,11.9,7.6,,1401423
Kadapa ,28,ANDHRA PRADESH,20,341823,171797,170026,36299,18876,17423,242540,131847,110693,990,923,79.38,86.22,72.54,"14.4673541,78.8241339",41997,27337,14660,A14,12,A34,1185,A61,A73,3,A92,2,27,A143,2,A173,0,1992,Udmurt Republic,1.3,12.4,11.1,,1622149
Kaithal ,6,HARYANA,5,144633,76657,67976,16690,9156,7534,103329,59162,44167,887,823,80.76,87.65,73.07,"29.7856734,76.3984537",18095,10125,7970,A14,12,A31,3447,A63,A73,4,A92,3,35,A143,1,A172,0,1992,Ulyanovsk Oblast,-0.5,10.9,11.4,,1432140
Kakinada ,28,ANDHRA PRADESH,14,312255,152596,159659,27181,13777,13404,231559,117829,113730,1046,973,81.23,84.88,77.76,"16.9890648,82.2474648",47823,29439,18384,A14,24,A32,1258,A61,A74,4,A93,1,25,A143,1,A173,0,1992,Khabarovsk Krai,0.4,10.9,10.5,,1624416
Kalol ,24,GUJARAT,6,112126,59380,52746,12035,6572,5463,88768,49439,39329,888,831,88.69,93.62,83.18,"23.2463895,72.5086513",14208,8671,5537,A14,12,A34,717,A61,A75,4,A93,4,52,A143,3,A173,0,1992,Republic of Khakassia,0.1,12,11.9,,573998
Kalyani ,19,WEST BENGAL,10,100620,50867,49753,7604,3890,3714,82553,43591,38962,978,955,88.75,92.79,84.63,"22.9750855,88.4345078",17457,9775,7682,A14,6,A30,1204,A62,A73,4,A93,1,35,A141,1,A173,0,1992,Khanty–Mansi Autonomous Okrug – Yugra,6.9,12.5,5.6,,1271505
Kamarhati ,19,WEST BENGAL,11,336579,174840,161739,23863,12324,11539,275870,147547,128323,925,936,88.22,90.79,85.43,"22.6846668,88.3706491",50367,29437,20930,A13,24,A32,1925,A61,A73,2,A93,2,26,A143,1,A173,0,1992,Chelyabinsk Oblast,-1.1,10.3,11.4,,3703516
Kancheepuram ,33,TAMIL NADU,3,164265,81990,82275,14464,7331,7133,132348,69538,62810,1003,973,88.35,93.14,83.59,"12.8341735,79.7036402",18625,10805,7820,A14,18,A32,433,A61,A71,3,A92,4,22,A143,1,A173,1,1992,Chechen Republic,12.5,19.9,7.4,,1224703
Kanchrapara ,19,WEST BENGAL,11,122181,61770,60411,8532,4406,4126,103194,54213,48981,978,936,90.8,94.51,87.02,"22.944101,88.4335019",13808,8265,5543,A11,6,A34,666,A64,A74,3,A92,4,39,A143,2,A172,0,1992,Chuvash Republic,1.9,12.4,10.5,,1344014
Kanpur ,9,UTTAR PRADESH,33,2767031,1502370,1264661,251127,135498,115629,2116973,1172323,944650,842,853,84.14,85.77,82.21,"26.449923,80.3318736",459611,250241,209370,A13,12,A32,2251,A61,A73,1,A92,2,46,A143,1,A172,0,1992,Chukotka Autonomous Okrug,5.9,11.5,5.6,,147930
Kanpur City,9,UTTAR PRADESH,33,108035,58505,49530,10750,5617,5133,77484,44086,33398,847,914,79.65,83.36,75.23,"26.449923,80.3318736",12635,6841,5794,A12,30,A32,2150,A61,A73,4,A92,2,24,A141,1,A173,1,1992,Sakha (Yakutia) Republic,8.3,16.3,8,,1100342
Karaikkudi ,33,TAMIL NADU,21,106793,53425,53368,9940,5045,4895,88380,46114,42266,999,970,91.25,95.32,87.19,"10.0731315,78.7801544",11778,6464,5314,A14,24,A33,4151,A62,A73,2,A93,3,35,A143,2,A173,0,1992,Yamalo-Nenets Autonomous Okrug,8.5,13,4.5,,477111
Karawal Nagar ,7,NCT OF DELHI,3,224666,120284,104382,30985,16871,14114,163801,94870,68931,868,837,84.57,91.74,76.36,"28.7283102,77.276926",14478,9446,5032,A12,9,A32,2030,A65,A74,2,A93,1,24,A143,1,A173,0,1992,Yaroslavl Oblast,-6.4,8.3,14.7,,1469449
Karimnagar ,28,ANDHRA PRADESH,3,260899,131769,129130,25035,12831,12204,204614,110146,94468,980,951,86.75,92.61,80.79,"18.4385553,79.1288412",52034,33192,18842,A12,60,A33,7418,A65,A73,1,A93,1,27,A143,1,A172,0,1993,Republic of Adygea,-4.2,10.7,14.9,,446191
Karnal ,6,HARYANA,6,286974,151668,135306,31291,17319,13972,220711,121652,99059,892,807,86.32,90.55,81.64,"29.6856929,76.9904825",52911,27708,25203,A14,24,A34,2684,A61,A73,4,A93,2,35,A143,2,A172,0,1993,Altai Krai,-4.9,9.1,14,,2680334
Kasganj ,9,UTTAR PRADESH,71,101241,53507,47734,13043,7139,5904,69289,38933,30356,892,827,78.56,83.97,72.57,"27.8129344,78.649785",13306,7833,5473,A11,12,A31,2149,A61,A73,4,A91,1,29,A143,1,A173,1,1993,Amur Oblast,-1.8,10.7,12.5,,1029516
Kashipur ,5,UTTARAKHAND,12,121610,63625,57985,14381,7792,6589,89433,49030,40403,911,846,83.4,87.82,78.61,"29.2104232,78.9618845",20036,10750,9286,A14,15,A32,3812,A62,A72,1,A92,4,23,A143,1,A173,0,1993,Arkhangelsk Oblast,-5.4,9.1,14.5,,1489573
Katihar ,10,BIHAR,10,225982,119142,106840,31036,16054,14982,155706,87581,68125,897,933,79.87,84.96,74.16,"25.552048,87.5718609",24259,17105,7154,A14,11,A34,1154,A62,A71,4,A92,4,57,A143,3,A172,0,1993,Astrakhan Oblast,-2.8,10.3,13.1,,1004737
Khammam ,28,ANDHRA PRADESH,10,184252,91019,93233,17131,8876,8255,136532,71580,64952,1024,930,81.7,87.14,76.43,"17.2472528,80.1514447",29400,18405,10995,A11,12,A32,1657,A61,A73,2,A93,2,27,A143,1,A173,0,1993,Republic of Bashkortostan,-1,11.6,12.6,,4022150
Khandwa ,23,MADHYA PRADESH,49,200681,102873,97808,24079,12659,11420,153609,82575,71034,951,902,86.98,91.53,82.23,"21.8257334,76.352571",24431,13708,10723,A11,24,A32,1603,A61,A75,4,A92,4,55,A143,1,A173,0,1993,Belgorod Oblast,-5.8,9.6,15.4,,1419743
Khanna ,3,PUNJAB,7,128130,67811,60319,13218,7232,5986,97022,53108,43914,890,828,84.43,87.67,80.82,"30.697852,76.2112286",16767,8279,8488,A11,18,A34,5302,A61,A75,2,A93,4,36,A143,3,A174,0,1993,Bryansk Oblast,-5.8,10.2,16,,1460144
Kharagpur ,19,WEST BENGAL,18,206923,106735,100188,17731,9084,8647,163915,89075,74840,939,952,86.64,91.22,81.76,"22.34601,87.2319753",24881,14511,10370,A14,12,A34,2748,A61,A75,2,A92,4,57,A141,3,A172,0,1993,Republic of Buryatia,-0.4,11.5,11.9,,1046176
Khardaha ,19,WEST BENGAL,11,111130,56792,54338,6579,3406,3173,99848,51668,48180,957,932,95.5,96.78,94.17,"22.7002943,88.3753455",21522,12228,9294,A14,10,A34,1231,A61,A75,3,A93,4,32,A143,2,A172,0,1993,Vladimir Oblast,-7.8,8,15.8,,1642469
Khargone ,23,MADHYA PRADESH,23,106452,54684,51768,13378,7020,6358,77216,42390,34826,947,906,82.96,88.94,76.69,"21.90287,75.8069082",12584,7745,4839,A12,15,A32,802,A61,A75,4,A93,3,37,A143,1,A173,1,1993,Volgograd Oblast,-4.3,9.5,13.8,,2676779
Khora ,9,UTTAR PRADESH,9,189410,102669,86741,26599,14350,12249,140013,82194,57819,845,854,86,93.06,77.62,"28.753915,77.3999054",10482,7313,3169,A14,36,A34,6304,A65,A75,4,A93,4,36,A143,2,A173,0,1993,Vologda Oblast,-6.4,9,15.4,,1351869
Khurja ,9,UTTAR PRADESH,11,111089,58577,52512,15510,8502,7008,64643,37048,27595,896,824,67.63,73.99,60.64,"28.2513538,77.8538797",10529,5967,4562,A14,24,A32,1533,A61,A72,4,A92,3,38,A142,1,A173,0,1993,Voronezh Oblast,-8.1,8.6,16.7,,2478686
Kirari Suleman Nagar ,7,NCT OF DELHI,1,282598,152135,130463,40720,21149,19571,191624,113079,78545,858,925,79.22,86.33,70.83,"28.6967948,77.0643614",10621,7340,3281,A11,14,A32,8978,A61,A75,1,A91,4,45,A143,1,A174,1,1993,Republic of Dagestan,13.5,20.8,7.3,,1990359
Kishanganj ,10,BIHAR,8,107076,55688,51388,17017,8743,8274,67286,37482,29804,923,946,74.71,79.84,69.13,"26.0917422,87.9383822",7847,5536,2311,A14,24,A32,999,A65,A75,4,A93,2,25,A143,2,A173,0,1993,Jewish Autonomous Oblast,-0.9,12.1,13,,217801
